x,theta,xDot,thetaDot,u
-0.0457546,0.524384,0.043168,-0.813804,0.0332093
-0.0457989,0.52467,0.0433069,-0.814065,0.0345425
-0.0458267,0.524966,0.0434442,-0.814333,0.0358806
-0.0458376,0.525271,0.04358,-0.814607,0.0372238
-0.0458318,0.525586,0.0437142,-0.814888,0.038572
-0.0458089,0.52591,0.0438468,-0.815176,0.0399253
-0.0457689,0.526245,0.043978,-0.815472,0.0412837
-0.0457117,0.52659,0.0441076,-0.815774,0.0426473
-0.0456372,0.526946,0.0442358,-0.816084,0.044016
-0.0455453,0.527313,0.0443624,-0.816402,0.04539
-0.0454357,0.527692,0.0444875,-0.816728,0.0467693
-0.0453086,0.528082,0.0446111,-0.817062,0.0481538
-0.0451636,0.528485,0.0447332,-0.817405,0.0495438
-0.0450009,0.5289,0.0448537,-0.817756,0.0509391
-0.0448201,0.529328,0.0449727,-0.818116,0.05234
-0.0446214,0.529769,0.0450901,-0.818486,0.0537464
-0.0444046,0.530224,0.0452059,-0.818865,0.0551584
-0.0441695,0.530692,0.0453201,-0.819253,0.0565762
-0.0439163,0.531176,0.0454327,-0.819652,0.0579997
-0.0436447,0.531674,0.0455435,-0.820061,0.0594292
-0.0433547,0.532187,0.0456527,-0.820481,0.0608645
-0.0430462,0.532717,0.0457601,-0.820911,0.062306
-0.0427193,0.533262,0.0458658,-0.821353,0.0637536
-0.0423738,0.533824,0.0459695,-0.821806,0.0652075
-0.0420098,0.534403,0.0460714,-0.822271,0.0666678
-0.0416271,0.535,0.0461713,-0.822748,0.0681346
-0.0412257,0.535616,0.0462692,-0.823238,0.0696081
-0.0408056,0.536249,0.0463651,-0.823741,0.0710883
-0.0403669,0.536903,0.0464587,-0.824257,0.0725754
-0.0399094,0.537576,0.0465501,-0.824787,0.0740696
-0.0394332,0.538269,0.0466392,-0.82533,0.0755709
-0.0389382,0.538983,0.0467259,-0.825889,0.0770795
-0.0384246,0.539719,0.0468101,-0.826462,0.0785955
-0.0378922,0.540477,0.0468917,-0.827051,0.0801191
-0.0373411,0.541257,0.0469706,-0.827655,0.0816504
-0.0367714,0.542062,0.0470467,-0.828275,0.0831894
-0.036183,0.54289,0.0471199,-0.828913,0.0847364
-0.0355761,0.543743,0.0471899,-0.829567,0.0862914
